W_f,V_f,V_m,V_p,rho_c,Notes
0.3389,0.2333,0.7667,-0.0011,,Specimen 1 (mi=1.5062g MF=0.5104g)
0.3553,0.2524,0.7476,0.0066,,Specimen 2 (mi=1.482g MF=0.5266g)
0.3496,0.2458,0.7542,0.0039,1.22,Specimen 3 (mi=1.4g MF=0.4894g Matrix density: 1.05)
0.3514,0.2478,0.7522,0.0048,,Specimen 4 (mi=1.3789g MF=0.4845g)
0.3420,0.2370,0.7630,0.0004,,Specimen 5 (mi=1.461g MF=0.4997g)
