W_f,V_f,V_m,V_p,rho_c,Notes
0.465,0.349,0.648,0.004,1.38,UD Sample 1
0.506,0.387,0.611,0.002,1.40,UD Sample 2
0.512,0.393,0.604,0.004,1.41,UD Sample 3
0.547,0.427,0.544,0.029,1.39,UD Sample 4
0.605,0.485,0.499,0.016,1.45,UD Sample 5
0.605,0.485,0.506,0.009,1.45,UD Sample 6
