W_f,V_f,V_m,V_p,rho_c,Notes
0.549,0.429,0.560,0.012,1.42,0/90° Sample 1
0.525,0.405,0.591,0.004,1.42,0/90° Sample 2
0.494,0.376,0.618,0.006,1.40,0/90° Sample 3
0.514,0.395,0.603,0.002,1.40,0/90° Sample 4
0.561,0.440,0.549,0.011,1.43,0/90° Sample 5
0.598,0.478,0.504,0.018,1.44,0/90° Sample 6
